,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,relative_humidity_2m_mean,surface_pressure_mean,soil_moisture_mean,soil_temperature_mean
Incidence Rate,-0.5387,-0.0803,-0.0803,,0.1232,-0.0946,-0.1137,-0.2774
Infection Prevalence,-0.5286,-0.0819,-0.0819,,0.1225,-0.0954,-0.1157,-0.2728
Mortality Rate,-0.5991,-0.2052,-0.2052,,0.0403,-0.1417,-0.2357,-0.2490
