"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2013,0.245397626794909
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2014,0.298923714798646
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2015,0.295530844963446
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.283752839699342
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2017,0.262838327237917
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2018,0.284233189851958
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2019,0.298925915333768
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2020,0.36511307405230203
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2021,0.36370225113181404
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2022,0.372240278061127
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2023,0.29707494876881096
"KEN","Kenya","Nairobi City","admin1","Mortality Rate","Deaths per 100 Thousand",2024,0.3037968107993
