Year,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,relative_humidity_2m_mean,soil_temperature_mean,Infection Prevalence,Mortality Rate
2001,26.914600550964188,0.6922865013774105,0.6922865013774105,0.0,32.81818181818182,29.129752066115703,17.204816253201198,191.674846806678
2002,27.304931506849314,0.603013698630137,0.603013698630137,0.0,32.227397260273975,29.7372602739726,17.8973704976331,176.453612845118
2003,27.25095890410959,0.7564383561643836,0.7564383561643836,0.0,32.94794520547945,29.55178082191781,18.7893594554144,174.515962042332
2004,27.63032786885246,0.5169398907103825,0.5169398907103825,0.0,30.816939890710383,29.94781420765027,20.404351252262103,182.722758603811
2005,27.775068493150684,0.712876712328767,0.712876712328767,0.0,33.16986301369863,30.12630136986301,22.1580851790542,210.038405392454
2006,27.56931506849315,0.7304109589041097,0.7304109589041097,0.0,32.06849315068493,30.07150684931507,21.7710503150669,200.92752329114
2007,27.36493150684932,0.7794520547945205,0.7794520547945205,0.0,31.454794520547942,29.306849315068494,22.0165479436597,196.037574896718
2008,26.88224043715847,0.637431693989071,0.637431693989071,0.0,31.887978142076506,29.184699453551914,22.0341913138355,201.98755586991905
2009,28.16191780821918,0.3808219178082191,0.3808219178082191,0.0,30.197260273972603,30.654520547945204,20.0269408929553,201.093304690642
2010,27.84739726027397,1.0295890410958903,1.0295890410958903,0.0,34.88219178082192,29.95890410958904,19.4067032631338,199.346804902988
2011,27.62684931506849,0.6312328767123287,0.6312328767123287,0.0,31.9013698630137,29.85041095890411,19.0127237857223,206.020426795104
2012,27.29535519125683,0.6901639344262295,0.6901639344262295,0.0,34.450819672131146,29.609562841530057,19.5894737588891,205.016394062596
2013,27.9158904109589,0.5435616438356164,0.5435616438356164,0.0,32.48219178082192,30.3027397260274,20.364511641494,211.183973885809
2014,27.775342465753425,0.6547945205479452,0.6547945205479452,0.0,32.81095890410959,30.19671232876712,19.5446235688756,196.98848321152695
2015,27.07780821917808,0.8427397260273973,0.8427397260273973,0.0,32.775342465753425,29.47041095890411,16.9155698539128,180.771494768562
2016,27.871584699453557,0.8494535519125682,0.8494535519125682,0.0,33.92896174863388,29.81311475409836,14.8153329202971,168.89262745996
2017,27.331232876712328,0.7208219178082192,0.7208219178082192,0.0,32.54246575342466,29.18383561643836,15.5509829384132,120.00652181564
2018,27.192054794520548,0.6704109589041095,0.6704109589041095,0.0,35.33698630136986,28.916164383561643,19.115355509312,113.112164003646
2019,27.644657534246573,0.773972602739726,0.773972602739726,0.0,34.21369863013699,29.29013698630137,23.5098383813386,116.278168943617
2020,27.693715846994536,0.5270491803278688,0.5270491803278688,0.0,32.994535519125684,29.558196721311475,25.5391630307925,129.98932833957502
2021,27.844931506849317,0.3964383561643835,0.3964383561643835,0.0,28.931506849315067,29.83041095890411,24.018374198862897,124.446624292579
2022,26.810410958904107,0.9597260273972604,0.9597260273972604,0.0,33.18082191780822,28.887671232876716,22.0098433249578,98.50429394395692
2023,27.92383561643836,0.7076712328767124,0.7076712328767124,0.0,33.14246575342466,29.70986301369863,18.2889382698255,101.372798166408
2024,21.41176470588235,0.0,0.0,0.0,16.058823529411764,25.076470588235296,18.2547327633601,101.180609957469
