Year,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,relative_humidity_2m_mean,soil_temperature_mean,Infection Prevalence,Mortality Rate
2001,1.4694214876033058,1.3807162534435262,1.190909090909091,0.1587052341597796,66.35261707988981,2.909090909090909,0,0
2002,1.6128767123287673,1.4989041095890412,1.3063013698630137,0.1607123287671233,68.72876712328767,3.5545205479452058,0,0
2003,2.078082191780822,1.9106849315068493,1.7936986301369864,0.1033698630136986,66.9041095890411,4.172876712328767,0,0
2004,1.992622950819672,1.4721311475409835,1.1699453551912569,0.2396448087431694,66.89617486338798,4.944808743169399,0,0
2005,1.4835616438356165,1.7608219178082194,1.6383561643835616,0.1141095890410958,68.58082191780822,4.932054794520548,0,0
2006,1.4624657534246577,1.703013698630137,1.477808219178082,0.1835342465753424,65.98904109589041,3.403561643835616,0,0
2007,3.3750684931506854,1.1345205479452054,0.941917808219178,0.1618630136986301,64.10684931506849,4.163561643835616,0,0
2008,3.084972677595628,1.3412568306010928,1.1540983606557378,0.1449726775956284,64.98087431693989,4.0693989071038255,0,0
2009,1.4241095890410955,1.848493150684932,1.6430136986301371,0.1808493150684931,66.08767123287672,4.556164383561644,0,0
2010,1.574794520547945,1.5202739726027397,1.175068493150685,0.2855616438356164,67.89315068493151,5.1558904109589045,0,0
2011,1.681095890410959,1.4443835616438356,1.2575342465753423,0.1633972602739726,69.69315068493151,5.866849315068493,0,0
2012,0.9674863387978144,2.012295081967213,1.82896174863388,0.1635245901639344,69.43715846994536,3.358196721311475,0,0
2013,1.3104109589041095,1.6794520547945206,1.4353424657534246,0.2029041095890411,72.47671232876712,6.012054794520548,0,0
2014,1.726301369863014,1.992054794520548,1.7868493150684932,0.164931506849315,69.79178082191781,6.816712328767123,0,0
2015,2.618082191780822,1.611780821917808,1.4093150684931506,0.1683835616438356,69.64109589041095,5.934520547945206,0,0
2016,1.1822404371584698,1.8046448087431692,1.644808743169399,0.1363661202185792,69.52185792349727,4.917486338797814,0,0
2017,2.522191780821918,2.1983561643835614,1.9671232876712328,0.1628219178082191,66.58630136986301,4.813972602739725,0,0
2018,2.3153424657534245,2.0238356164383564,1.8230136986301368,0.140958904109589,67.83561643835617,3.837534246575343,0,0
2019,3.1131506849315067,2.726849315068493,2.5424657534246577,0.1298356164383561,64.3972602739726,3.5063013698630137,0,0
2020,3.5265027322404374,2.430054644808743,2.230327868852459,0.1405737704918032,68.4153005464481,2.5666666666666664,0,0
2021,2.9495890410958903,2.4594520547945207,2.0736986301369864,0.271945205479452,69.55616438356165,2.7093150684931504,0,0
2022,2.2693150684931505,2.329315068493151,2.0098630136986304,0.2255342465753424,70.06027397260274,5.187397260273973,0,0
2023,2.595068493150685,2.6221917808219177,2.3756164383561647,0.1750958904109588,69.87123287671233,6.208219178082191,0,0
2024,-18.058823529411764,0.6235294117647059,0.0117647058823529,0.4364705882352941,76.76470588235294,-0.0352941176470588,0,0
